City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Masumbwe,TZ,-3.6333,32.1833,67.14,91,61,2.3,light rain
105,San Quintin,MX,30.4833,-115.95,65.28,66,6,13.15,clear sky
106,Buraydah,SA,26.326,43.975,71.6,24,0,5.75,clear sky
107,Peniche,PT,39.3558,-9.3811,66.0,66,0,5.99,clear sky
108,Acapulco,MX,16.8634,-99.8901,86.0,62,1,7.92,clear sky
109,Havelock,US,34.8791,-76.9013,66.0,34,1,11.5,clear sky
110,Tiksi,RU,71.6872,128.8694,-21.14,100,80,4.76,broken clouds
111,Puertollano,ES,38.6871,-4.1073,69.8,30,40,3.44,scattered clouds
112,Skibbereen,IE,51.55,-9.2667,53.6,58,20,14.97,few clouds
113,Port Keats,AU,-14.25,129.55,77.99,80,100,7.29,overcast clouds
114,Bagdarin,RU,54.4333,113.6,21.43,58,26,7.94,scattered clouds
115,Castro,BR,-24.7911,-50.0119,72.97,54,61,5.91,broken clouds
116,Kavieng,PG,-2.5744,150.7967,77.63,88,100,6.98,moderate rain
117,Andenes,NO,69.3143,16.1194,30.99,69,99,17.27,overcast clouds
118,Jacareacanga,BR,-6.2222,-57.7528,92.91,45,100,4.83,overcast clouds
119,Araouane,ML,18.9048,-3.5265,100.49,4,19,1.32,few clouds
120,Lavrentiya,RU,65.5833,-171.0,-6.86,81,100,9.33,overcast clouds
121,Pangai,TO,-19.8,-174.35,78.06,73,100,13.44,overcast clouds
122,Matamoros,MX,25.5333,-103.25,70.0,52,1,5.32,clear sky
123,Khatanga,RU,71.9667,102.5,-16.08,91,10,6.33,clear sky
124,Kruisfontein,ZA,-34.0033,24.7314,66.99,77,2,8.01,clear sky
125,Port-Gentil,GA,-0.7193,8.7815,86.0,74,20,12.66,few clouds
126,Pozoblanco,ES,38.3791,-4.8483,75.2,33,20,3.44,few clouds
127,Hambantota,LK,6.1241,81.1185,78.8,78,0,4.61,clear sky
128,Mahibadhoo,MV,3.7833,72.9667,84.34,72,9,11.54,clear sky
129,Asosa,ET,10.0667,34.5333,79.97,21,87,3.29,overcast clouds
130,Brae,GB,60.3964,-1.353,33.8,86,90,24.16,snow
131,Grand Bank,CA,47.0999,-55.765,43.99,92,100,18.14,overcast clouds
132,Asekeyevo,RU,53.5742,52.7972,33.82,88,100,12.35,overcast clouds
133,Iqaluit,CA,63.7506,-68.5145,10.4,72,20,4.61,few clouds
134,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.52,54,58,7.54,broken clouds
135,Cabedelo,BR,-6.9811,-34.8339,86.0,70,75,10.36,broken clouds
136,Palmer,US,42.1584,-72.3287,54.0,24,20,3.44,few clouds
137,Muros,ES,42.7762,-9.0603,75.99,40,4,1.32,clear sky
138,Aklavik,CA,68.2191,-135.0107,-13.0,84,75,4.61,broken clouds
139,Vardo,NO,70.3705,31.1107,35.6,87,75,24.16,broken clouds
140,Puro,PH,12.4841,123.3827,79.61,74,8,11.23,clear sky
141,Carnarvon,AU,-24.8667,113.6333,78.8,73,34,17.27,scattered clouds
142,Torbay,CA,47.6666,-52.7314,41.0,100,90,16.11,mist
143,Saint George,US,37.1041,-113.5841,59.0,23,1,2.15,clear sky
144,Bredasdorp,ZA,-34.5322,20.0403,69.8,73,87,12.66,overcast clouds
145,Leningradskiy,RU,69.3833,178.4167,-3.26,96,100,6.53,overcast clouds
146,Abong Mbang,CM,3.9833,13.1833,83.62,44,96,1.54,overcast clouds
147,Luanda,AO,-8.8368,13.2343,82.4,69,75,8.05,broken clouds
148,San Fernando,PH,15.0286,120.6898,82.4,65,75,3.44,broken clouds
149,East London,ZA,-33.0153,27.9116,69.8,64,0,2.3,clear sky
150,Llanes,ES,43.4198,-4.7549,55.99,63,0,11.1,clear sky
151,Pelym,RU,61.0108,61.9978,33.44,98,100,3.94,overcast clouds
152,Mount Isa,AU,-20.7333,139.5,71.6,64,13,5.75,few clouds
153,Sambava,MG,-14.2667,50.1667,79.88,83,10,6.42,clear sky
154,Ilulissat,GL,69.2167,-51.1,19.4,49,20,4.61,few clouds
155,Galesong,ID,-5.3166,119.3661,78.8,100,40,3.44,scattered clouds
156,Bukachacha,RU,52.9833,116.9167,28.17,69,85,9.64,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,-10.55,77,1,11.54,clear sky
158,Pangkalanbuun,ID,-2.6833,111.6167,74.03,95,88,2.82,overcast clouds
159,Asau,RO,46.4333,26.4,42.01,48,100,4.56,overcast clouds
160,Lagoa,PT,39.05,-27.9833,60.17,80,100,16.17,overcast clouds
161,Goderich,CA,43.7501,-81.7165,41.0,75,13,6.91,few clouds
162,Santa Rosa,PH,14.3122,121.1114,82.4,69,20,10.36,few clouds
163,Kavaratti,IN,10.5669,72.642,82.92,68,56,12.26,broken clouds
164,Starosubkhangulovo,RU,53.1031,57.4423,35.06,98,100,5.82,light snow
165,Bandarbeyla,SO,9.4942,50.8122,80.35,75,21,9.8,few clouds
166,Piacabucu,BR,-10.4056,-36.4344,85.37,62,51,10.07,broken clouds
167,Colac,AU,-38.3333,143.5833,55.0,84,1,4.0,clear sky
168,Vilaka,LV,57.1846,27.6722,40.19,71,99,9.78,overcast clouds
169,Sasebo,JP,33.1592,129.7228,57.0,33,84,11.99,broken clouds
170,Moron,AR,-34.6534,-58.6198,81.0,69,75,5.75,broken clouds
171,Kaitangata,NZ,-46.2817,169.8464,60.28,54,37,15.64,scattered clouds
172,Clyde River,CA,70.4692,-68.5914,-11.2,84,1,3.44,clear sky
173,Krasnyy Chikoy,RU,50.3643,108.7512,29.73,90,87,2.44,overcast clouds
174,Havoysund,NO,70.9963,24.6622,33.8,80,20,4.61,light snow
175,Kaeo,NZ,-35.1,173.7833,51.01,95,15,1.99,few clouds
176,Saldanha,ZA,-33.0117,17.9442,73.4,68,62,16.11,broken clouds
177,Mabaruma,GY,8.2,-59.7833,73.18,97,100,4.03,overcast clouds
178,Esperance,AU,-33.8667,121.9,62.6,88,16,12.66,few clouds
179,Leticia,CO,-4.2153,-69.9406,84.2,74,75,3.44,broken clouds
180,Chumikan,RU,54.7183,135.315,4.75,92,47,4.9,scattered clouds
181,Tagusao,PH,9.1924,117.8141,79.68,82,93,4.23,overcast clouds
182,Bida,NG,9.0833,6.0167,102.45,12,5,2.33,clear sky
183,Bilibino,RU,68.0546,166.4372,-22.04,99,73,3.51,broken clouds
184,Chokurdakh,RU,70.6333,147.9167,-27.72,100,23,4.61,few clouds
185,Vilyuysk,RU,63.7553,121.6247,-20.7,99,99,1.81,overcast clouds
186,Bengkulu,ID,-3.8004,102.2655,77.49,83,100,8.95,overcast clouds
187,Surt,LY,31.2089,16.5887,83.91,18,74,12.15,broken clouds
188,Cedar City,US,37.6775,-113.0619,66.99,13,1,8.05,clear sky
189,Khani,GE,41.9563,42.9566,59.0,55,0,5.75,clear sky
190,Ulladulla,AU,-35.35,150.4667,62.01,94,30,5.75,scattered clouds
191,Sorland,NO,67.667,12.6934,33.8,60,40,13.8,scattered clouds
192,Eureka,US,40.8021,-124.1637,51.01,80,98,3.65,overcast clouds
193,Boende,CD,-0.2167,20.8667,75.45,85,96,2.42,overcast clouds
194,Bulawayo,ZW,-20.15,28.5833,66.61,62,0,7.56,clear sky
195,Sayat,TM,38.7839,63.8803,55.4,41,4,6.91,clear sky
196,Paita,PE,-5.0892,-81.1144,87.8,51,0,8.05,clear sky
197,Sioux Lookout,CA,50.1001,-91.917,51.8,35,75,9.22,broken clouds
198,Nizwa,OM,22.9333,57.5333,87.1,18,2,8.41,clear sky
199,Milkovo,RU,54.7167,158.6167,19.06,84,82,5.57,broken clouds
200,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,12.66,few clouds
201,Georgetown,MY,5.4112,100.3354,84.99,83,20,4.38,few clouds
202,Bethel,US,41.3712,-73.414,55.0,26,75,3.44,broken clouds
