City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Luganville,VU,2021-04-03 19:14:00,-15.5333,167.1667,79.83,87,100,6.42
184,Andenes,NO,2021-04-03 19:14:01,69.3143,16.1194,37.4,75,100,24.16
185,Vila Velha,BR,2021-04-03 19:14:01,-20.3297,-40.2925,80.6,74,20,10.36
186,Zhigalovo,RU,2021-04-03 19:14:01,54.8097,105.1578,31.33,97,100,5.32
187,Sao Geraldo Do Araguaia,BR,2021-04-03 19:14:01,-6.4006,-48.555,87.85,67,62,0.74
188,Gizo,SB,2021-04-03 19:14:02,-8.103,156.8419,83.12,74,100,6.15
189,Sydney Mines,CA,2021-04-03 19:14:02,46.2367,-60.2177,34.0,100,90,16.11
190,Semey,KZ,2021-04-03 19:14:02,50.4111,80.2275,23.47,82,8,5.35
191,Lagoa,PT,2021-04-03 19:10:30,39.05,-27.9833,59.23,91,100,30.27
192,Shingu,JP,2021-04-03 19:14:03,33.7333,135.9833,58.66,87,87,2.77
193,Douentza,ML,2021-04-03 19:14:03,14.9951,-2.9517,87.94,4,9,7.45
194,Auki,SB,2021-04-03 19:14:03,-8.7676,160.7034,78.48,84,100,4.59
195,Tateyama,JP,2021-04-03 19:14:03,34.9833,139.8667,63.0,83,92,3.0
196,Marsh Harbour,BS,2021-04-03 19:13:03,26.5412,-77.0636,68.27,56,3,24.58
197,Hithadhoo,MV,2021-04-03 19:09:21,-0.6,73.0833,84.0,73,99,16.2
198,Kautokeino,NO,2021-04-03 19:14:04,69.0125,23.0412,27.72,79,100,12.93
199,San Blas,MX,2021-04-03 19:14:04,21.5167,-105.2667,93.2,27,75,7.27
200,Popondetta,PG,2021-04-03 19:14:05,-8.7537,148.2534,73.36,99,100,1.59
201,Bairiki,KI,2021-04-03 19:14:05,1.3292,172.9752,80.6,83,40,9.22
202,Hofn,IS,2021-04-03 19:14:05,64.2539,-15.2082,43.14,81,100,16.58
203,Petauke,ZM,2021-04-03 19:14:06,-14.2426,31.3253,64.76,91,12,4.43
204,Mananjary,MG,2021-04-03 19:14:06,-21.2167,48.3333,73.76,81,38,3.74
205,Port Hardy,CA,2021-04-03 19:14:07,50.6996,-127.4199,42.8,87,90,8.05
206,Tibati,CM,2021-04-03 19:14:07,6.4667,12.6333,77.65,21,100,4.56
